with_flyweight,num_soldiers,time,memory
1,1,0.029630,30040
0,1,0.047028,30016
1,100,0.043473,33208
0,100,0.230641,3001600
1,100000,9.751623,3230008
0,100000,154.308454,3001600000
1,100000000,9585.969158,3200030008
0,100000000,149603.669208,3001600000000
1,1000000000,94921.685778,32000030008
0,1000000000,1467830.919930,30016000000000
